vendor,family,part_number,category,search_terms,preferred_sources,required_outputs,priority,source_url,notes
Hirose,RF,U.FL / I-PEX MHF1 candidate,rf_connector,"U.FL MHF1 official connector drawing KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates;source_evidence",high,https://www.hirose.com/en/product/series/U.FL,"SOURCE_LINK_ONLY candidate; exact MPN, mating height, and footprint remain UNVERIFIED."
Generic,RF,U.FL connector generic,rf_connector,"U.FL generic KiCad footprint exact manufacturer drawing","kicad_official_libraries;manufacturer_official","part_candidates;drawing_links;footprint_candidates;source_evidence",high,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_Coaxial.pretty,"Generic RF connector target; exact manufacturer drawing required."
Generic,RF,SMA edge launch generic,rf_connector,"SMA edge launch official connector drawing KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates;source_evidence",high,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_Coaxial.pretty,"Generic RF connector target; board thickness and exact drawing required."
Generic,RF,RP-SMA pigtail generic,rf_connector,"RP-SMA pigtail connector official drawing KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates;source_evidence",medium,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_Coaxial.pretty,"Generic RF connector target; exact part and mechanical review required."
Generic,RF,PCB antenna keepout generic,antenna,"PCB antenna keepout official module vendor design guide KiCad note","manufacturer_official;espressif","layout_notes;source_evidence",high,https://www.espressif.com/en/support/documents/technical-documents,"Generic keepout target; must be tied to exact module antenna drawing before use."
Generic,Board Hardware,test pad generic,test_point,"KiCad test point footprints size assembly probe access","kicad_official_libraries","footprint_candidates;source_evidence",medium,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/TestPoint.pretty,"Candidate library folder only; test pad size and access must be project/fab reviewed."
Generic,Board Hardware,mounting hole generic,mounting_hole,"KiCad mounting hole footprints plated nonplated clearance","kicad_official_libraries","footprint_candidates;source_evidence",medium,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/MountingHole.pretty,"Candidate library folder only; hole size, plating, and chassis/GND policy require human review."
Generic,Connectors,2.54mm pin header generic,connector,"KiCad pin header footprints exact pitch orientation drawing","kicad_official_libraries","footprint_candidates;source_evidence",medium,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_PinHeader_2.54mm.pretty,"Candidate library folder only; orientation, shroud, and mating connector remain UNVERIFIED."
Generic,Connectors,3.5mm terminal block generic,connector,"KiCad terminal block footprints exact manufacturer drawing orientation","kicad_official_libraries;manufacturer_official","part_candidates;drawing_links;footprint_candidates;source_evidence",high,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/TerminalBlock.pretty,"Generic connector target; exact manufacturer drawing and orientation review required."
JST,Connectors,JST-PH 2-pin candidate,connector,"JST PH 2-pin official drawing KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates;source_evidence",high,https://www.jst.com/products/crimp-style-connectors-wire-to-board-type/ph-connector/,"SOURCE_LINK_ONLY candidate; exact MPN and orientation review required."
JST,Connectors,JST-GH 4-pin candidate,connector,"JST GH 4-pin official drawing KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates;source_evidence",high,https://www.jst.com/products/crimp-style-connectors-wire-to-board-type/gh-connector/,"SOURCE_LINK_ONLY candidate; exact MPN and orientation review required."
