vendor,family,part_number,category,search_terms,preferred_sources,required_outputs,priority,notes
STMicro,STM32F1,STM32F103C8T6,microcontroller,"STM32F103C8T6 supplier datasheet footprint","stmicro;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"Pilot supplier/component/footprint cross-link."
STMicro,STM32F4,STM32F411CEU6,microcontroller,"STM32F411CEU6 supplier datasheet footprint","stmicro;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"Pilot supplier/component/footprint cross-link."
Espressif,ESP32-S3,ESP32-S3-WROOM-1,module,"ESP32-S3-WROOM-1 supplier datasheet footprint","espressif;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"Module keepout high-risk."
Espressif,ESP32-S3,ESP32-S3-WROOM-1U,module,"ESP32-S3-WROOM-1U supplier datasheet footprint","espressif;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"External antenna module high-risk."
Microchip,PIC16,PIC16F877A,microcontroller,"PIC16F877A supplier datasheet package","microchip;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",medium,"Exact package required."
Microchip,PIC18,PIC18F4550,microcontroller,"PIC18F4550 supplier datasheet package","microchip;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",medium,"USB PIC exact package required."
Raspberry Pi,RP2040,RP2040,microcontroller,"RP2040 datasheet package footprint","raspberry_pi;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"QFN footprint verification required."
Microchip,CAN FD,MCP2562FD,communication,"MCP2562FD supplier datasheet footprint","microchip;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"Package variants must be reviewed."
Texas Instruments,CAN,SN65HVD230,communication,"SN65HVD230 supplier datasheet footprint","ti;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",medium,"Verify package and source."
Diodes Inc,AP63203,AP63203,power_regulator,"AP63203 supplier datasheet footprint","digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"Regulator layout/package high-risk."
Texas Instruments,LM2596,LM2596,power_regulator,"LM2596 supplier datasheet footprint","ti;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",medium,"Exact suffix/package required."
Advanced Monolithic Systems,AMS1117-3.3,AMS1117-3.3,ldo_regulator,"AMS1117-3.3 supplier datasheet footprint","digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",medium,"Vendor ambiguity risk."
Alpha and Omega Semiconductor,AO3401A,AO3401A,pmos,"AO3401A supplier datasheet SOT-23 pinout","digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"PMOS pin mapping high-risk."
Texas Instruments,USB ESD,TPD2EUSB30ADRTR,esd_array,"TPD2EUSB30ADRTR supplier datasheet footprint","ti;digikey;mouser;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates",high,"ESD pinout high-risk."
Generic,USB-C,USB-C 16-pin receptacle generic,connector,"USB-C 16 pin receptacle supplier drawing footprint","digikey;mouser;jlcpcb;lcsc;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates",high,"Exact manufacturer drawing required."
Generic,RF,U.FL connector generic,rf_connector,"U.FL MHF1 supplier drawing footprint","digikey;mouser;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates",high,"Exact connector drawing required."
Generic,RF,SMA connector generic,rf_connector,"SMA connector edge launch supplier drawing footprint","digikey;mouser;kicad_official_libraries","part_candidates;drawing_links;footprint_candidates",high,"PCB thickness/orientation risk."
Generic,resettable_polyfuse,resettable polyfuse generic,protection,"resettable polyfuse supplier datasheet footprint","digikey;mouser;kicad_official_libraries","part_candidates;datasheet_links;footprint_candidates",medium,"Exact MPN required."
Generic,TVS,TVS diode generic,protection,"TVS diode supplier datasheet footprint","digikey;mouser;kicad_official_libraries","part_candidates;datasheet_links;footprint_candidates",medium,"Exact voltage/package required."
